title,artist,image_url,genre
Tierquar,RK,https://i.scdn.co/image/80ba7a8f70f2bf289ac031232a8090b13f8b7ddc,french hip hop
Rockstar,RK,https://i.scdn.co/image/80ba7a8f70f2bf289ac031232a8090b13f8b7ddc,french hip hop
Dans ma chambre,RK,https://i.scdn.co/image/80ba7a8f70f2bf289ac031232a8090b13f8b7ddc,french hip hop
Demain c'est loin,RK,https://i.scdn.co/image/80ba7a8f70f2bf289ac031232a8090b13f8b7ddc,french hip hop
Indécis,RK,https://i.scdn.co/image/80ba7a8f70f2bf289ac031232a8090b13f8b7ddc,french hip hop
Comme à l'ancienne,RK,https://i.scdn.co/image/80ba7a8f70f2bf289ac031232a8090b13f8b7ddc,french hip hop
J'me balade,RK,https://i.scdn.co/image/80ba7a8f70f2bf289ac031232a8090b13f8b7ddc,french hip hop
#DansLeTierquar (Marseille),RK,https://i.scdn.co/image/80ba7a8f70f2bf289ac031232a8090b13f8b7ddc,french hip hop
Mon reuf,RK,https://i.scdn.co/image/80ba7a8f70f2bf289ac031232a8090b13f8b7ddc,french hip hop
Bénéfice,RK,https://i.scdn.co/image/80ba7a8f70f2bf289ac031232a8090b13f8b7ddc,french hip hop
Si demain,RK,https://i.scdn.co/image/80ba7a8f70f2bf289ac031232a8090b13f8b7ddc,french hip hop
C'est mon sang,RK,https://i.scdn.co/image/80ba7a8f70f2bf289ac031232a8090b13f8b7ddc,french hip hop
Pardon maman,RK,https://i.scdn.co/image/80ba7a8f70f2bf289ac031232a8090b13f8b7ddc,french hip hop
Rédemption,RK,https://i.scdn.co/image/80ba7a8f70f2bf289ac031232a8090b13f8b7ddc,french hip hop
Moscow,RK,https://i.scdn.co/image/80ba7a8f70f2bf289ac031232a8090b13f8b7ddc,french hip hop
Ne crois pas que c'est drôle,RK,https://i.scdn.co/image/80ba7a8f70f2bf289ac031232a8090b13f8b7ddc,french hip hop
La patate,RK,https://i.scdn.co/image/80ba7a8f70f2bf289ac031232a8090b13f8b7ddc,french hip hop
#DansLeTierquar (Lyon),RK,https://i.scdn.co/image/80ba7a8f70f2bf289ac031232a8090b13f8b7ddc,french hip hop
Pas les mêmes,RK,https://i.scdn.co/image/80ba7a8f70f2bf289ac031232a8090b13f8b7ddc,french hip hop
#DansLeTierquar (Lyon),RK,https://i.scdn.co/image/80ba7a8f70f2bf289ac031232a8090b13f8b7ddc,french hip hop
No no,RK,https://i.scdn.co/image/80ba7a8f70f2bf289ac031232a8090b13f8b7ddc,french hip hop
V2V,RK,https://i.scdn.co/image/80ba7a8f70f2bf289ac031232a8090b13f8b7ddc,french hip hop
Bae,RK,https://i.scdn.co/image/80ba7a8f70f2bf289ac031232a8090b13f8b7ddc,french hip hop
Cramé,RK,https://i.scdn.co/image/80ba7a8f70f2bf289ac031232a8090b13f8b7ddc,french hip hop
Tierquar,RK,https://i.scdn.co/image/80ba7a8f70f2bf289ac031232a8090b13f8b7ddc,french hip hop
Chaque jour,RK,https://i.scdn.co/image/80ba7a8f70f2bf289ac031232a8090b13f8b7ddc,french hip hop
Booska Rêves de gosse (Freestyle),RK,https://i.scdn.co/image/80ba7a8f70f2bf289ac031232a8090b13f8b7ddc,french hip hop
#DansLeTierquar (Nantes),RK,https://i.scdn.co/image/80ba7a8f70f2bf289ac031232a8090b13f8b7ddc,french hip hop
Tierquar,RK,https://i.scdn.co/image/80ba7a8f70f2bf289ac031232a8090b13f8b7ddc,french hip hop
#DansLeTierquar (Nantes),RK,https://i.scdn.co/image/80ba7a8f70f2bf289ac031232a8090b13f8b7ddc,french hip hop
24 carats,RK,https://i.scdn.co/image/80ba7a8f70f2bf289ac031232a8090b13f8b7ddc,french hip hop
#DansLeTierquar (Marseille),RK,https://i.scdn.co/image/80ba7a8f70f2bf289ac031232a8090b13f8b7ddc,french hip hop
Sans m'attacher,RK,https://i.scdn.co/image/80ba7a8f70f2bf289ac031232a8090b13f8b7ddc,french hip hop
On sait,RK,https://i.scdn.co/image/80ba7a8f70f2bf289ac031232a8090b13f8b7ddc,french hip hop
Ne m'en veux pas,RK,https://i.scdn.co/image/80ba7a8f70f2bf289ac031232a8090b13f8b7ddc,french hip hop
